aalib 1.4rc5-19
abseil-cpp 20250814.1-1
acl 2.3.2-1
ada 3.3.0-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.16.1-1
alsa-card-profiles 1:1.4.9-2
alsa-lib 1.2.14-2
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
antigravity 1.13.3-1
aom 3.13.1-1
appstream 1.1.1-1
arandr 0.1.11-5
archlinux-keyring 20251116-1
at-spi2-core 2.58.2-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.1.2-1
autoconf 2.72-1
automake 1.18.1-1
autotrace-nomagick 1:0.31.10-2
autotrace-nomagick-debug 1:0.31.10-2
avahi 1:0.9rc2-1
babl 0.1.118-1
base 3-2
base-devel 1-2
bash 5.3.9-1
bc 1.08.2-1
betterlockscreen 4.4.0-1
binutils 2.45.1-1
bison 3.8.2-8
blas 3.12.1-2
blueprint-compiler 0.18.0-1
bluetui 0.8.0-1
bluez 5.85-1
bluez-libs 5.85-1
bluez-utils 5.85-1
boost 1.89.0-3
boost-libs 1.89.0-3
brave-bin 1:1.84.139-1
brightnessctl 0.5.1-3
brotli 1.1.0-3
btop 1.4.5-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.119.1-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cbindgen 0.29.2-1
chromaprint 1.6.0-2
chrpath 0.17-1
clang 21.1.6-1
clang20 20.1.8-1
cmake 4.2.1-1
compiler-rt 21.1.6-1
compiler-rt20 20.1.8-1
containerd 2.2.1-1
coreutils 9.9-1
cppdap 1.58.0-2
cryptsetup 2.8.3-1
cups 2:2.4.16-1
cups-filters 2.0.1-2
curl 8.17.0-2
dav1d 1.5.2-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-glib 0.114-1
dbus-units 37-2
dconf 0.49.0-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.38-1
diffutils 3.12-2
djvulibre 3.5.29-1
dmalloc-debug 5.6.5-2
docker 1:29.1.3-1
docker-compose 5.0.0-1
double-conversion 3.4.0-1
duktape 2.7.0-7
e2fsprogs 1.47.3-2
efibootmgr 18-3
efivar 39-1
enchant 2.8.14-1
exiv2 0.28.7-1
expat 2.7.3-1
faad2 2.11.2-1
fakeroot 1.37.1.2-1
feh 3.11.2-2
ffmpeg 2:8.0.1-2
ffmpeg4.4 4.4.6-3
ffmpegthumbnailer 2.3.0-1
fftw 3.3.10-7
file 5.46-5
filesystem 2025.10.12-1
findutils 4.10.0-3
flac 1.5.0-1
flex 2.6.4-5
flif 0.4-1
flif-debug 0.4-1
fluidsynth 2.5.1-1
fmt 12.1.0-1
fontconfig 2:2.17.1-1
foomatic-db-engine 5:20200131-2
freeglut 3.8.0-1
freetype2 2.14.1-1
fribidi 1.0.16-2
gawk 5.3.2-1
gc 8.2.10-2
gcc 15.2.1+r301+gf24307422d1d-1
gcc-libs 15.2.1+r301+gf24307422d1d-1
gd 2.3.3-9
gdbm 1.26-1
gdk-pixbuf2 2.44.4-1
gegl 0.4.66-1
gettext 0.26-1
ghc-libs 9.6.6-1
ghostscript 10.06.0-1
giflib 5.2.2-2
gimp 3.0.6-2
girara 0.4.5-1
git 2.52.0-2
glew 2.2.0-7
glib-networking 1:2.80.1-1
glib2 2.86.3-1
glib2-devel 2.86.3-1
glibc 2.42+r33+gde1fe81f4714-1
glibmm 2.66.8-1
glslang 1:1.4.335.0-1
glu 9.0.3-2
glycin 2.0.7-1
gmp 6.3.0-2
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
gnupg 2.4.8-4
gnutls 3.8.11-2
go 2:1.25.5-1
gobject-introspection 1.86.0-1
gobject-introspection-runtime 1.86.0-1
gperf 3.3-1
gperftools 2.17.2-1
gpgme 2.0.1-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphite 1:1.3.14-5
graphviz 14.0.5-1
grep 3.12-2
groff 1.23.0-7
grub 2:2.14rc1.r54.g29f3131a-2
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsfonts 20200910-6
gsm 1.0.23-1
gssdp 1.6.4-1
gst-plugins-bad-libs 1.26.9-1
gst-plugins-base-libs 1.26.9-1
gstreamer 1.26.9-1
gtest 1.17.0-1
gtk-update-icon-cache 1:4.20.3-1
gtk3 1:3.24.51-1
gtk4 1:4.20.3-1
gtk4-layer-shell 1.3.0-1
gtkmm3 3.24.10-1
gts 0.7.6.121130-5
guile 3.0.11-1
gumbo-parser 0.13.2-1
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gzip 1.14-2
harfbuzz 12.2.0-2
harfbuzz-icu 12.2.0-2
haskell-aeson 2.1.2.1-183
haskell-aeson-pretty 0.8.10-143
haskell-ansi-terminal 1.0.2-156
haskell-ansi-terminal-types 0.11.5-196
haskell-appar 0.1.8-16
haskell-asn1-encoding 0.9.6-331
haskell-asn1-parse 0.9.5-330
haskell-asn1-types 0.3.4-309
haskell-assoc 1.1.1-40
haskell-async 2.2.5-270
haskell-attoparsec 0.14.4-175
haskell-attoparsec-aeson 2.1.0.0-167
haskell-auto-update 0.1.6-449
haskell-base-compat 0.14.1-2
haskell-base-compat-batteries 0.14.1-45
haskell-base-orphans 0.9.3-84
haskell-base-unicode-symbols 0.2.4.2-16
haskell-base16-bytestring 1.0.2.0-180
haskell-base64-bytestring 1.2.1.0-270
haskell-basement 0.0.16-4
haskell-bifunctors 5.6.2-58
haskell-bitvec 1.1.5.0-36
haskell-blaze-builder 0.4.4.1-26
haskell-blaze-html 0.9.2.0-103
haskell-blaze-markup 0.8.3.0-113
haskell-boring 0.2.2-2
haskell-bsb-http-chunked 0.0.0.4-497
haskell-byteorder 1.0.4-27
haskell-call-stack 0.4.0-382
haskell-case-insensitive 1.2.1.0-374
haskell-cassava 0.5.4.1-38
haskell-cborg 0.2.10.0-79
haskell-cereal 0.5.8.3-4
haskell-citeproc 0.8.1.1-77
haskell-cmdargs 0.10.22-4
haskell-colour 2.3.6-406
haskell-commonmark 0.2.6.1-7
haskell-commonmark-extensions 0.2.5.5-48
haskell-commonmark-pandoc 0.2.2.3-38
haskell-comonad 5.0.9-121
haskell-conduit 1.3.6.1-126
haskell-conduit-extra 1.3.8-69
haskell-constraints 0.14.2-79
haskell-contravariant 1.5.5-6
haskell-cookie 0.5.0-2
haskell-crypton 1.0.4-10
haskell-crypton-connection 0.4.5-19
haskell-crypton-socks 0.6.2-17
haskell-crypton-x509 1.7.7-65
haskell-crypton-x509-store 1.6.12-2
haskell-crypton-x509-system 1.6.7-137
haskell-crypton-x509-validation 1.6.14-53
haskell-data-default 0.7.1.3-33
haskell-data-default-class 0.1.2.2-2
haskell-data-default-instances-containers 0.1.0.3-4
haskell-data-default-instances-dlist 0.0.1.2-136
haskell-data-default-instances-old-locale 0.0.1.2-2
haskell-data-fix 0.3.4-142
haskell-dec 0.0.6-2
haskell-digest 0.0.2.1-2
haskell-distributive 0.6.2.1-413
haskell-djot 0.1.2.3-6
haskell-dlist 1.0-386
haskell-doclayout 0.5-10
haskell-doctemplates 0.11.0.1-69
haskell-easy-file 0.2.5-121
haskell-emojis 0.1.4.1-82
haskell-erf 2.0.0.0-27
haskell-fast-logger 3.2.4-35
haskell-file-embed 0.0.16.0-2
haskell-foldable1-classes-compat 0.1.2-56
haskell-generically 0.1.1-88
haskell-generics-sop 0.5.1.3-5
haskell-glob 0.10.2-190
haskell-gridtables 0.1.1.0-18
haskell-haddock-library 1.11.0-176
haskell-half 0.3.3-67
haskell-hashable 1.4.7.0-19
haskell-hourglass 0.2.12-346
haskell-hslua 2.3.0-194
haskell-hslua-aeson 2.3.1.1-42
haskell-hslua-classes 2.3.1-24
haskell-hslua-core 2.3.2-28
haskell-hslua-list 1.1.4-23
haskell-hslua-marshalling 2.3.1-135
haskell-hslua-module-doclayout 1.2.0-2
haskell-hslua-module-path 1.1.1-96
haskell-hslua-module-system 1.1.2-48
haskell-hslua-module-text 1.1.0.1-162
haskell-hslua-module-version 1.1.1-138
haskell-hslua-module-zip 1.1.3-41
haskell-hslua-objectorientation 2.3.1-43
haskell-hslua-packaging 2.3.1-145
haskell-hslua-repl 0.1.2-141
haskell-hslua-typing 0.1.1-137
haskell-http-api-data 0.6.1-39
haskell-http-client 0.7.19-54
haskell-http-client-tls 0.3.6.4-130
haskell-http-date 0.0.11-238
haskell-http-media 0.8.1.1-114
haskell-http-types 0.12.4-134
haskell-http2 5.1.0-9
haskell-hunit 1.6.2.0-425
haskell-indexed-traversable 0.1.4-176
haskell-indexed-traversable-instances 0.1.2-125
haskell-integer-conversion 0.1.1-54
haskell-integer-logarithms 1.0.4-142
haskell-iproute 1.7.15-84
haskell-ipynb 0.2-276
haskell-isocline 1.0.9-4
haskell-jira-wiki-markup 1.5.1-122
haskell-juicypixels 3.3.9-91
haskell-lexer 1.2-2
haskell-libyaml 0.1.4-154
haskell-lpeg 1.1.0-36
