a52dec 0.7.4-11
aalib 1.4rc5-14
acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 41.0-1
alacritty 0.9.0-1
alsa-card-profiles 1:0.3.40-1
alsa-lib 1.2.5.1-3
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
amtk 5.3.1-1
aom 3.2.0-1
apparmor 3.0.3-1
arandr 0.1.10-6
archfetch 1.0.8-6
archlinux-keyring 20211028-1
argon2 20190702-3
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1
atkmm 2.28.2-2
attr 2.5.1-1
audiofile 0.3.6-6
audit 3.0.6-2
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-1
base 2-2
bash 5.1.012-1
bbswitch 0.8-467
binutils 2.36.1-3
bison 3.8.2-1
blueman 2.2.3-1
bluez 5.62-1
bluez-libs 5.62-1
bluez-utils 5.62-1
boost-libs 1.78.0-1
brave-bin 1:1.32.113-1
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
brotli 1.0.9-4
btop 1.1.4-1
btrfs-progs 5.15.1-1
bubblewrap 0.5.0-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.72-2
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
calcurse 4.7.1-1
calibre 5.32.0-2
cantarell-fonts 1:0.303-1
cblas 3.10.0-1
cdparanoia 10.2-8
celt 0.11.3-4
chmlib 0.40-6
chromaprint 1.5.0-3
cifs-utils 6.14-1
cmake 3.22.0-1
confuse 3.3-3
containerd 1.5.8-1
coreutils 9.0-2
cryptsetup 2.4.2-1
cuda 11.5.0-1
cudnn 8.3.0.98-1
curl 7.80.0-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-1
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.14-1
diffutils 3.8-1
discord 0.0.16-1
dkms 3.0.2-1
dmenu 5.0-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docker 1:20.10.11-1
dosfstools 4.2-1
double-conversion 3.1.5-2
downgrade 10.1.0-1
e2fsprogs 1.46.4-1
efibootmgr 17-2
efivar 37-4
egl-wayland 2:1.1.9+r3+g582b2d3-1
eglexternalplatform 1.1-2
electron 16.0.2-1
elfutils 0.186-1
enchant 2.3.1-2
erlang-nox 24.1.2-1
expat 2.4.1-1
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.26-1
feh 3.7.2-1
ffmpeg 2:4.4.1-1
fftw 3.3.10-1
file 5.41-1
filesystem 2021.11.11-1
findutils 4.8.0-1
firefox 94.0.2-2
flac 1.3.3-3
flex 2.6.4-3
fluidsynth 2.2.4-1
fmt 8.0.1-2
fontconfig 2:2.13.94-1
foxitreader 2.4.4.0911-4
freeglut 3.2.1-2
freetype2 2.11.0-4
fribidi 1.0.11-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
gawk 5.1.1-1
gc 8.2.0-2
gcc 11.1.0-1
gcc-libs 11.1.0-1
gcc10 1:10.3.0-1
gcc10-libs 1:10.3.0-1
gcr 3.41.0-1
gd 2.3.3-3
gdbm 1.22-1
gdk-pixbuf2 2.42.6-2
gedit 40.1-1
gettext 0.21-1
ghostscript 9.55.0-2
giflib 5.2.1-2
git 2.34.1-1
glew 2.2.0-2
glib-networking 1:2.70.0-1
glib2 2.70.1-1
glib2-docs 2.70.1-1
glibc 2.33-5
glibmm 2.66.2-1
glslang 11.7.0-1
glu 9.0.2-1
gmp 6.2.1-1
gnome-icon-theme 3.12.0-6
gnome-icon-theme-symbolic 3.12.0-6
gnu-free-fonts 20120503-8
gnupg 2.2.32-2
gnutls 3.7.2-2
go 2:1.17.3-1
go-tools 4:0.1.7-1
gobject-introspection-runtime 1.70.0-2
gparted 1.3.1-1
gpgme 1.16.0-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.8-1
graphene 1.10.6-1
graphite 1:1.3.14-1
graphviz 2.49.3-1
grep 3.7-1
groff 1.22.4-6
grub 2:2.06-2
gsettings-desktop-schemas 41.0-1
gsfonts 20200910-2
gsm 1.0.19-1
gspell 1.8.4-1
gssdp 1.4.0.1-1
gst-libav 1.18.5-1
gst-plugins-bad 1.18.5-3
gst-plugins-bad-libs 1.18.5-3
gst-plugins-base 1.18.5-1
gst-plugins-base-libs 1.18.5-1
gst-plugins-good 1.18.5-2
gst-plugins-ugly 1.18.5-2
gstreamer 1.18.5-1
gstreamer0.10 0.10.36-17
gstreamer0.10-base 0.10.36-13
gtk-doc 1.33.2-1
gtk-update-icon-cache 1:4.4.1-1
gtk2 2.24.33-2
gtk3 1:3.24.30+90+g20be04f7ac-1
gtk4 1:4.4.1-1
gtkmm3 3.24.5-2
gtksourceview3 3.24.11+28+g73e57b57-1
gtksourceview4 4.8.2-1
gts 0.7.6.121130-2
guile 2.2.7-2
gupnp 1:1.4.0-1
gupnp-igd 1.2.0-2
gzip 1.11-1
harfbuzz 3.1.2-1
harfbuzz-icu 3.1.2-1
hicolor-icon-theme 0.17-2
hidapi 0.11.0-1
htop 3.1.1-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hwids 20210613-1
hwloc 2.5.0-1
hyphen 2.8.8-3
i3-gaps 4.20.1-1
i3lock 2.13-1
i3status 2.14-1
iana-etc 20211025-1
ibus 1.5.25-3
ibus-bamboo 0.7.9-1
icu 70.1-1
ijs 0.35-3
imagemagick 7.1.0.16-1
imath 3.1.3-1
imlib2 1.7.4-1
intel-gmmlib 21.3.2-1
intel-media-driver 21.4.1-1
iproute2 5.15.0-1
iptables 1:1.8.7-1
iputils 20210722-1
iso-codes 4.8.0-1
jack2 1.9.19-2
jansson 2.14-1
jasper 2.0.33-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
js78 78.15.0-1
json-c 0.15-2
json-glib 1.6.6-1
jsoncpp 1.9.4-1
julia 2:1.7.0-1
jxrlib 0.2.1-3
kbd 2.4.0-2
keyutils 1.6.3-1
